Ticket_Subject,Ticket_Description,Product_Purchased,Ticket_Channel,Ticket_Type,Customer_Age,Ticket_Priority
MacBook Air travado - trabalho parado,O MacBook Air não sincroniza mais com o aplicativo oficial. Já reinstalei o app várias vezes.,MacBook Air,Email,Solicitação de reembolso,47,Média
Câmera Canon EOS com comportamento estranho,Equipamento danificado.,Câmera Canon EOS,Chat,Dúvida,19,Baixa
Como usar Amazon Kindle,O Amazon Kindle com display completamente apagado e sem resposta alguma a qualquer controle.,Amazon Kindle,Email,Dúvida,69,Baixa
Defeito no iPhone 14 - home office,Sistema travou.,iPhone 14,Email,Reclamação,82,Alta
Roteador Wi-Fi inoperante,O Roteador Wi-Fi não acessa mais a internet mesmo estando conectado normalmente à rede Wi-Fi.,Roteador Wi-Fi,Chat,Cancelamento,39,Média
MacBook Pro tela quebrada - urgente,O MacBook Pro está superaquecendo e desligando automaticamente após poucos minutos de uso normal.,MacBook Pro,Chat,Cancelamento,19,Média
Reparo: Aspirador Dyson,Aspirador Dyson apagado.,Aspirador Dyson,Telefone,Reclamação,46,Alta
URGENTE - Fogão 5 Bocas,Fui cobrado indevidamente pela manutenção do Fogão 5 Bocas que foi cancelada há mais de dois meses.,Fogão 5 Bocas,Email,Solicitação de reembolso,81,Alta
Problema grave no Geladeira,O Geladeira descarrega em menos de uma hora de uso leve. Comprei há cinco meses. Já calibrei a bateria conforme o manual mas o problema se manteve exatamente igual.,Geladeira,Email,Dúvida,47,Média
Máquina de Lavar causando risco,O Máquina de Lavar está superaquecendo e desligando automaticamente após poucos minutos de uso normal.,Máquina de Lavar,Chat,Problema Técnico,60,Urgente
Notebook Lenovo travado - trabalho parado,Recebi o Notebook Lenovo com embalagem completamente avariada. O produto chegou com danos físicos visíveis externos.,Notebook Lenovo,Chat,Dúvida,28,Média
Suporte: Controle Xbox,O Controle Xbox com conexão Wi-Fi caindo a cada poucos minutos de uso contínuo.,Controle Xbox,Chat,Reclamação,50,Média
Computador Desktop travado - trabalho parado,O Computador Desktop não aquece mais como antes. Parou depois de anos funcionando perfeitamente bem.,Computador Desktop,Telefone,Cancelamento,40,Alta
Notebook Lenovo tela quebrada - urgente,O Notebook Lenovo está superaquecendo e desligando automaticamente após poucos minutos de uso normal.,Notebook Lenovo,Chat,Problema Técnico,42,Alta
Problema grave no Lavadora a Pressão,Lavadora a Pressão não gela nada.,Lavadora a Pressão,Chat,Problema Técnico,44,Urgente
Câmera Canon EOS com falha leve,O Câmera Canon EOS com controle remoto sem nenhuma resposta mesmo com pilha nova recém instalada.,Câmera Canon EOS,Email,Cancelamento,77,Baixa
URGENTE - Freezer,O Freezer desliga sozinho várias vezes por dia sem motivo aparente. Verifiquei a instalação elétrica e o problema é do aparelho. Tentei redefinir para padrão de fábrica sem sucesso.,Freezer,Chat,Problema Técnico,43,Urgente
Tablet Samsung inoperante,O Tablet Samsung com ciclo sempre incompleto. As roupas saem molhadas ao final de cada lavagem.,Tablet Samsung,Telefone,Reclamação,30,Alta
Problema no iPad Pro - reunião amanhã,"O iPad Pro reinicia em loop contínuo e sem parar. Aguardei a bateria descarregar completamente e recarreguei do zero, mas o ciclo de reinicialização continua exatamente da mesma forma.",iPad Pro,Email,Solicitação de reembolso,19,Média
Fogão 5 Bocas com vazamento perigoso,O Fogão 5 Bocas parou de gelar após oscilação de energia elétrica. Já aguardei quatro horas para religar conforme orientação mas continua sem gelar. Tenho insulina que exige refrigeração.,Fogão 5 Bocas,Email,Cancelamento,42,Média
Nintendo Switch com comportamento estranho,O Nintendo Switch com som completamente distorcido e alto. Incomoda os vizinhos e é insuportável.,Nintendo Switch,Email,Solicitação de reembolso,70,Média
Não funciona,entregaram errado,MacBook Pro,Chat,Cancelamento,83,Baixa
Fone Bluetooth JBL com comportamento estranho,O Fone Bluetooth JBL com defeito grave desde a compra não liga mais e está dentro da garantia. Já tentei todos os procedimentos descritos. Solicito visita técnica pois é essencial na rotina.,Fone Bluetooth JBL,Telefone,Solicitação de reembolso,82,Alta
Problema,ruim demais,Tablet Samsung,Telefone,Reclamação,80,Média
Amazon Kindle com falha leve,Tela piscando forte.,Amazon Kindle,Chat,Reclamação,40,Média
Airfryer Philips inoperante,O Airfryer Philips não conecta à internet após a última atualização automática de software recebida.,Airfryer Philips,Telefone,Cancelamento,61,Alta
Não funciona,nn liga,Notebook Dell XPS,Email,Reclamação,45,Baixa
Reclamação,q problema,Câmera GoPro Hero,Chat,Solicitação de reembolso,44,Baixa
iPhone 14 não liga - prazo em risco,O iPhone 14 com display completamente apagado e sem resposta alguma a qualquer controle.,iPhone 14,Telefone,Cancelamento,39,Alta
iPhone 14 tela quebrada - urgente,iPhone 14 defeituoso.,iPhone 14,Chat,Dúvida,78,Média
Assistência Smart TV LG 50,O Smart TV LG 50 não acessa mais a internet mesmo estando conectado normalmente à rede Wi-Fi.,Smart TV LG 50,Email,Solicitação de reembolso,47,Média
Falha no Airfryer Philips,Airfryer Philips tela preta.,Airfryer Philips,Chat,Solicitação de reembolso,60,Alta
Tablet Samsung com defeito intermitente,O Tablet Samsung apresentou cheiro de queimado forte. Desliguei imediatamente por questão de segurança da família.,Tablet Samsung,Chat,Dúvida,68,Média
Reparo: Impressora HP,Impressora HP vazando.,Impressora HP,Telefone,Cancelamento,63,Alta
Notebook Lenovo tela quebrada - urgente,O Notebook Lenovo com touchscreen sem resposta na parte inferior da tela durante o uso.,Notebook Lenovo,Telefone,Reclamação,44,Alta
Defeito no iPhone 13 - home office,O iPhone 13 superaquecendo de forma intensa. Fica extremamente quente em menos de cinco minutos de uso.,iPhone 13,Chat,Solicitação de reembolso,21,Alta
Monitor LG 27 não funciona,O Monitor LG 27 com display completamente apagado e sem resposta alguma a qualquer controle.,Monitor LG 27,Chat,Dúvida,43,Baixa
Amazon Kindle com falha leve,O Amazon Kindle com botão físico principal travado. Não responde a nenhuma tentativa de acionamento.,Amazon Kindle,Chat,Solicitação de reembolso,31,Média
iPhone 14 travado - trabalho parado,O iPhone 14 chegou completamente amassado pelos correios com estrutura danificada. Ao ligar pela primeira vez não funciona corretamente. Quero reembolso integral ou troca por produto novo.,iPhone 14,Chat,Cancelamento,78,Alta
Assistência Monitor LG 27,Monitor LG 27 defeituoso.,Monitor LG 27,Email,Cancelamento,49,Baixa
Info sobre Câmera Canon EOS,O Câmera Canon EOS com tela com riscos profundos visíveis. Solicito reparo ou troca em garantia.,Câmera Canon EOS,Chat,Problema Técnico,25,Alta
Como usar Fone Bluetooth JBL,Meu Fone Bluetooth JBL não liga desde ontem à noite. Todos os arquivos de trabalho estão salvos nele e tenho entrega amanhã cedo. Tentei outra tomada e outro cabo sem qualquer resultado.,Fone Bluetooth JBL,Chat,Solicitação de reembolso,32,Média
Aquecedor a Gás com faísca elétrica,Aquecedor a Gás com falha.,Aquecedor a Gás,Chat,Cancelamento,37,Alta
Manutenção Airfryer Philips,O Airfryer Philips com botão físico principal travado. Não responde a nenhuma tentativa de acionamento.,Airfryer Philips,Chat,Dúvida,29,Baixa
Assistência Smart TV Samsung 55,Produto quebrado.,Smart TV Samsung 55,Chat,Solicitação de reembolso,85,Alta
Defeito crítico no Lavadora a Pressão,Solicitei o cancelamento do contrato de assistência do Lavadora a Pressão há quinze dias e continuo sendo cobrado indevidamente. Já enviei três emails sem resposta. Vou acionar o Procon.,Lavadora a Pressão,Email,Problema Técnico,58,Alta
Falha no Tablet Samsung,Tablet Samsung vazando.,Tablet Samsung,Email,Reclamação,41,Média
Samsung Galaxy S23 tela quebrada - urgente,O Samsung Galaxy S23 com touchscreen sem resposta na parte inferior da tela durante o uso.,Samsung Galaxy S23,Chat,Solicitação de reembolso,43,Alta
iPhone 13 travado - trabalho parado,O iPhone 13 com defeito na dobradiça principal. Não fecha de forma correta ou segura.,iPhone 13,Chat,Problema Técnico,35,Alta
Smart TV LG 50 inoperante,"O Smart TV LG 50 apresenta cheiro de queimado e faíscas visíveis na parte traseira. Desliguei por segurança. É risco real de incêndio e preciso de técnico hoje, pois não consigo usar o aparelho.",Smart TV LG 50,Chat,Cancelamento,24,Média
Dúvida sobre Amazon Kindle,O Amazon Kindle com tampa ou porta emperrada. Não abre nem fecha de forma correta mais.,Amazon Kindle,Chat,Dúvida,73,Baixa
Smart TV Samsung 55 apresenta defeito,O Smart TV Samsung 55 caiu e a tela quebrou parcialmente. Ainda funciona mas está inutilizável profissionalmente. É minha principal ferramenta de trabalho. Preciso saber sobre cobertura de garantia.,Smart TV Samsung 55,Email,Cancelamento,54,Baixa
Atendimento,ignorando meu caso,Aquecedor a Gás,Email,Dúvida,29,Baixa
Problema no iPhone 14 - reunião amanhã,O iPhone 14 com defeito grave desde a compra não liga mais e está dentro da garantia. Já tentei todos os procedimentos descritos. Solicito visita técnica pois é essencial na rotina.,iPhone 14,Email,Problema Técnico,77,Alta
Problemas,cadê o suporte,Notebook Dell XPS,Email,Cancelamento,53,Média
Reclamação,preciso de ajuda,Micro-ondas,Email,Problema Técnico,41,Baixa
Defeito no Soundbar Sony,O Soundbar Sony com display completamente apagado e sem resposta alguma a qualquer controle.,Soundbar Sony,Email,Cancelamento,55,Baixa
Monitor LG 27 com defeito intermitente,O Monitor LG 27 parou no meio do ciclo de uso e não reinicia de forma alguma agora.,Monitor LG 27,Telefone,Reclamação,59,Alta
Atendimento,ta tudo errado,iPhone 13,Email,Dúvida,59,Baixa
Notebook Dell XPS tela quebrada - urgente,"O Notebook Dell XPS para durante o uso, a luz indicadora apaga e só volta a funcionar após trinta minutos desligado. Já aconteceu quatro vezes essa semana com apenas três meses de uso.",Notebook Dell XPS,Email,Dúvida,63,Média
Não funciona,nao funfa,Controle Xbox,Telefone,Reclamação,44,Baixa
Info sobre Fone Bluetooth JBL,O Fone Bluetooth JBL está superaquecendo e desligando automaticamente após poucos minutos de uso normal.,Fone Bluetooth JBL,Email,Problema Técnico,34,Média
Smart TV Samsung 55 não funciona,O Smart TV Samsung 55 desligando sozinho várias vezes ao dia sem nenhum motivo aparente ou justificável.,Smart TV Samsung 55,Email,Reclamação,44,Média
iPhone 14 não liga - prazo em risco,Técnico realizou manutenção no iPhone 14 mas o mesmo defeito voltou no dia seguinte.,iPhone 14,Chat,Solicitação de reembolso,47,Alta
Help,me liguem rápido,Caixa de Som JBL,Telefone,Cancelamento,33,Baixa
iPad Pro quebrou - sem produtividade,iPad Pro reiniciando sempre.,iPad Pro,Chat,Cancelamento,74,Alta
Preciso de ajuda,nao funfa,iPad Pro,Email,Dúvida,33,Baixa
Defeito,ajuda urgente,Câmera Canon EOS,Email,Problema Técnico,38,Média
Caixa de Som JBL não funciona,O Caixa de Som JBL não sincroniza mais com o aplicativo oficial. Já reinstalei o app várias vezes.,Caixa de Som JBL,Email,Solicitação de reembolso,71,Média
Purificador de Água parou - urgente,O Purificador de Água com tampa ou porta emperrada. Não abre nem fecha de forma correta mais.,Purificador de Água,Email,Solicitação de reembolso,79,Alta
Help,nao ligo,Fogão 5 Bocas,Email,Problema Técnico,18,Baixa
Bebedouro com cheiro de queimado,"O Bebedouro para durante o uso, a luz indicadora apaga e só volta a funcionar após trinta minutos desligado. Já aconteceu quatro vezes essa semana com apenas três meses de uso.",Bebedouro,Chat,Solicitação de reembolso,26,Alta
Problemas,me liguem rápido,Airfryer Philips,Telefone,Problema Técnico,67,Média
Notebook Lenovo não liga - prazo em risco,Notebook Lenovo não gela nada.,Notebook Lenovo,Email,Solicitação de reembolso,23,Média
MacBook Pro não liga - prazo em risco,Meu MacBook Pro não liga desde ontem à noite. Todos os arquivos de trabalho estão salvos nele e tenho entrega amanhã cedo. Tentei outra tomada e outro cabo sem qualquer resultado.,MacBook Pro,Chat,Reclamação,84,Alta
PlayStation 5 com comportamento estranho,O PlayStation 5 com defeito visível após apenas um mês de uso regular e dentro da garantia.,PlayStation 5,Email,Problema Técnico,44,Média
Reparo: Smart TV LG 50,O Smart TV LG 50 apresenta erro E5 no display e não executa mais nenhuma função disponível.,Smart TV LG 50,Email,Cancelamento,40,Baixa
Micro-ondas travado - trabalho parado,O Micro-ondas com defeito na tela que fica piscando constantemente sem parar durante todo o uso.,Micro-ondas,Email,Reclamação,64,Alta
Defeito crítico no Fogão,O Fogão com bateria não durando mais de vinte minutos por carga. Produto com seis meses de uso. Calibrei seguindo todas as instruções do manual oficial mas sem melhora nenhuma.,Fogão,Chat,Solicitação de reembolso,69,Alta
Defeito no iPhone 13 - home office,Produto quebrado.,iPhone 13,Email,Problema Técnico,21,Alta
Dúvida sobre PlayStation 5,O PlayStation 5 com controle remoto sem nenhuma resposta mesmo com pilha nova recém instalada.,PlayStation 5,Telefone,Reclamação,70,Alta
Urgente,quebrou,Monitor LG 27,Email,Dúvida,39,Baixa
Samsung Galaxy S23 quebrou - sem produtividade,O Samsung Galaxy S23 emite ruído alto durante funcionamento normal. O técnico da loja disse ser normal mas claramente não é. Outros usuários relatam o mesmo defeito nos fóruns do produto.,Samsung Galaxy S23,Telefone,Problema Técnico,32,Urgente
Urgente,manda tecnico,Smart TV LG 50,Email,Dúvida,74,Média
Geladeira com faísca elétrica,O Geladeira não reconhece mais nenhum dos acessórios oficiais do fabricante conectados a ele.,Geladeira,Chat,Cancelamento,50,Alta
Problemas,n funfa,Fone Bluetooth JBL,Chat,Dúvida,30,Média
Suporte: Controle Xbox,O Controle Xbox parou de gelar após oscilação de energia elétrica. Já aguardei quatro horas para religar conforme orientação mas continua sem gelar. Tenho insulina que exige refrigeração.,Controle Xbox,Telefone,Reclamação,83,Alta
Micro-ondas tela quebrada - urgente,O Micro-ondas reiniciando em loop contínuo e sem parar. Não consigo usar de jeito algum.,Micro-ondas,Telefone,Problema Técnico,30,Urgente
Defeito,to precisando ajuda,MacBook Air,Email,Problema Técnico,49,Baixa
Airfryer Philips inoperante,Comprei o Airfryer Philips como presente e ao abrir a caixa já estava com tela trincada internamente. A loja recusa troca. Preciso de laudo técnico do fabricante para comprovar defeito.,Airfryer Philips,Chat,Cancelamento,84,Média
Notebook Lenovo quebrou - sem produtividade,O Notebook Lenovo com defeito visível após apenas um mês de uso regular e dentro da garantia.,Notebook Lenovo,Email,Reclamação,59,Alta
Micro-ondas tela quebrada - urgente,O Micro-ondas não liga desde ontem à noite. Perdi todos os alimentos que estavam armazenados dentro.,Micro-ondas,Chat,Problema Técnico,67,Urgente
Notebook Dell XPS tela quebrada - urgente,Notebook Dell XPS com defeito grave.,Notebook Dell XPS,Email,Problema Técnico,36,Alta
Problema no Computador Desktop - reunião amanhã,O Computador Desktop não acessa mais a internet mesmo estando conectado normalmente à rede Wi-Fi.,Computador Desktop,Telefone,Solicitação de reembolso,19,Alta
Como usar PlayStation 5,O PlayStation 5 não sincroniza mais com o aplicativo oficial. Já reinstalei o app várias vezes.,PlayStation 5,Email,Reclamação,69,Média
Nintendo Switch com falha leve,O Nintendo Switch não lê mais nenhum tipo de mídia inserida nele. Totalmente inoperante.,Nintendo Switch,Email,Dúvida,74,Baixa
Suporte,nao funfa,Notebook Lenovo,Email,Dúvida,61,Baixa
Info sobre Xbox Series X,O Xbox Series X com porta de conexão USB danificada. Nenhum dispositivo conecta mais corretamente.,Xbox Series X,Email,Cancelamento,30,Baixa
Dúvida sobre Câmera GoPro Hero,O Câmera GoPro Hero com controle remoto sem nenhuma resposta mesmo com pilha nova recém instalada.,Câmera GoPro Hero,Chat,Solicitação de reembolso,72,Média
Preciso de ajuda,parou sem motivo,Lavadora a Pressão,Telefone,Cancelamento,32,Média
Help,parou sem motivo,Lavadora a Pressão,Email,Solicitação de reembolso,75,Média
Purificador de Água com cheiro de queimado,O Purificador de Água com tampa ou porta emperrada. Não abre nem fecha de forma correta mais.,Purificador de Água,Email,Dúvida,41,Média
Notebook Dell XPS não liga - prazo em risco,Defeito visível.,Notebook Dell XPS,Telefone,Reclamação,20,Alta
Dúvida sobre Câmera GoPro Hero,O Câmera GoPro Hero com controle remoto sem nenhuma resposta mesmo com pilha nova recém instalada.,Câmera GoPro Hero,Email,Reclamação,85,Média
Falha no Roteador Wi-Fi,O Roteador Wi-Fi está fazendo barulho de estalos e a temperatura interna não é mantida corretamente. Não consegui agendamento na assistência. Tenho medicamentos que exigem refrigeração constante.,Roteador Wi-Fi,Chat,Dúvida,39,Baixa
Urgente,travou tudo,Bebedouro,Email,Dúvida,46,Média
Soundbar Sony com defeito intermitente,"O Soundbar Sony emitindo ruído alto e vibração intensa, completamente fora do comportamento normal esperado.",Soundbar Sony,Email,Solicitação de reembolso,24,Média
Manutenção Monitor LG 27,O Monitor LG 27 não reconhece mais nenhum dos acessórios oficiais do fabricante conectados a ele.,Monitor LG 27,Email,Cancelamento,78,Média
Emergência: Lavadora a Pressão não funciona,O Lavadora a Pressão não liga após queda leve. Ainda está dentro do prazo de garantia do fabricante.,Lavadora a Pressão,Email,Solicitação de reembolso,18,Alta
Dúvida sobre Smartwatch Garmin,O Smartwatch Garmin com porta de conexão USB danificada. Nenhum dispositivo conecta mais corretamente.,Smartwatch Garmin,Email,Reclamação,26,Média
Smart TV LG 50 não funciona,O Smart TV LG 50 reiniciando em loop contínuo e sem parar. Não consigo usar de jeito algum.,Smart TV LG 50,Telefone,Cancelamento,38,Média
Defeito,odeio isso,iPhone 14,Email,Cancelamento,42,Baixa
Samsung Galaxy S23 quebrou - sem produtividade,O Samsung Galaxy S23 desliga sozinho várias vezes por dia sem motivo aparente. Verifiquei a instalação elétrica e o problema é do aparelho. Tentei redefinir para padrão de fábrica sem sucesso.,Samsung Galaxy S23,Email,Solicitação de reembolso,35,Média
Como usar Câmera Canon EOS,O Câmera Canon EOS parou no meio do ciclo de uso e não reinicia de forma alguma agora.,Câmera Canon EOS,Email,Reclamação,44,Média
Problema no Notebook Lenovo - reunião amanhã,Notebook Lenovo queimando.,Notebook Lenovo,Email,Problema Técnico,33,Alta
Defeito,sumiu tudo,Câmera GoPro Hero,Telefone,Dúvida,78,Média
Reparo: Tablet Samsung,Comprei o Tablet Samsung há quatro meses e ele travou completamente. A garantia está válida. Trabalho em home office e perco produtividade a cada hora. Não consigo acessar meus arquivos.,Tablet Samsung,Chat,Problema Técnico,76,Alta
Assistência Aspirador Dyson,Equipamento danificado.,Aspirador Dyson,Email,Problema Técnico,66,Alta
Nintendo Switch com comportamento estranho,O Nintendo Switch com bateria descarregando muito mais rápido do que o esperado e prometido.,Nintendo Switch,Chat,Reclamação,80,Alta
Defeito,sumiu tudo,Câmera GoPro Hero,Telefone,Dúvida,64,Média
Dúvida sobre Xbox Series X,O Xbox Series X com defeito grave desde a compra não liga mais e está dentro da garantia. Já tentei todos os procedimentos descritos. Solicito visita técnica pois é essencial na rotina.,Xbox Series X,Email,Cancelamento,71,Baixa
Bebedouro parou - urgente,O Bebedouro com defeito grave desde a compra não liga mais e está dentro da garantia. Já tentei todos os procedimentos descritos. Solicito visita técnica pois é essencial na rotina.,Bebedouro,Email,Solicitação de reembolso,53,Alta
Amazon Kindle com falha leve,O Amazon Kindle apresentou cheiro de queimado forte. Desliguei imediatamente por questão de segurança da família.,Amazon Kindle,Chat,Solicitação de reembolso,63,Média
Reclamação,n funfa,Bebedouro,Email,Cancelamento,49,Baixa
Soundbar Sony inoperante,Soundbar Sony defeituoso.,Soundbar Sony,Email,Problema Técnico,80,Alta
Problema,manda tecnico,Controle Xbox,Chat,Dúvida,66,Baixa
Suporte,help,Bebedouro,Chat,Problema Técnico,48,Baixa
Manutenção Smart TV LG 50,"O Smart TV LG 50 para durante o uso, a luz indicadora apaga e só volta a funcionar após trinta minutos desligado. Já aconteceu quatro vezes essa semana com apenas três meses de uso.",Smart TV LG 50,Email,Problema Técnico,62,Alta
Dúvida técnica Nintendo Switch,O Nintendo Switch está com tela totalmente preta mas com som funcionando normalmente. Testei monitor externo mas sem sinal de vídeo algum. É ferramenta de trabalho e estou sem renda.,Nintendo Switch,Chat,Dúvida,22,Baixa
Soundbar Sony apresenta defeito,O Soundbar Sony está fazendo barulho de estalos e a temperatura interna não é mantida corretamente. Não consegui agendamento na assistência. Tenho medicamentos que exigem refrigeração constante.,Soundbar Sony,Email,Problema Técnico,45,Alta
Fogão parou - urgente,O Fogão com tela completamente preta mas com som funcionando. Possível defeito de placa de vídeo.,Fogão,Email,Solicitação de reembolso,30,Alta
Defeito crítico no Fogão,Defeito visível.,Fogão,Email,Solicitação de reembolso,63,Alta
Computador Desktop quebrou - sem produtividade,Meu Computador Desktop não reconhece mais nenhum dos acessórios oficiais conectados a ele. Já testei acessórios diferentes e o problema persiste em todos. É minha ferramenta principal de trabalho.,Computador Desktop,Chat,Problema Técnico,59,Alta
Atendimento,ignorando meu caso,iPhone 13,Email,Reclamação,44,Média
Manutenção Smart TV Samsung 55,O Smart TV Samsung 55 apresenta vazamento de líquido pelo fundo. Risco de acidente doméstico sério. Preciso de ajuda.,Smart TV Samsung 55,Email,Solicitação de reembolso,40,Média
Suporte,odeio isso,Aspirador Dyson,Chat,Dúvida,47,Baixa
Urgente,ja liguei,Purificador de Água,Email,Solicitação de reembolso,81,Baixa
Defeito no iPhone 13 - home office,Recebi o iPhone 13 com embalagem completamente avariada. O produto chegou com danos físicos visíveis externos.,iPhone 13,Email,Cancelamento,62,Média
Problema,ajuda urgente,Roteador Wi-Fi,Email,Reclamação,59,Baixa
Atendimento,travou tudo,Airfryer Philips,Email,Dúvida,55,Baixa
Aquecedor a Gás parou - urgente,O Aquecedor a Gás parou no meio do ciclo de uso e não reinicia de forma alguma agora.,Aquecedor a Gás,Telefone,Problema Técnico,69,Urgente
Aspirador Dyson com defeito intermitente,O Aspirador Dyson desliga sozinho várias vezes por dia sem motivo aparente. Verifiquei a instalação elétrica e o problema é do aparelho. Tentei redefinir para padrão de fábrica sem sucesso.,Aspirador Dyson,Chat,Cancelamento,35,Média
MacBook Air não liga - prazo em risco,Recebi o MacBook Air com embalagem completamente avariada. O produto chegou com danos físicos visíveis externos.,MacBook Air,Email,Problema Técnico,59,Alta
Urgente: Máquina de Lavar com risco de incêndio,O Máquina de Lavar com som completamente distorcido e alto. Incomoda os vizinhos e é insuportável.,Máquina de Lavar,Telefone,Reclamação,53,Urgente
Samsung Galaxy S23 não liga - prazo em risco,Samsung Galaxy S23 chiando alto.,Samsung Galaxy S23,Email,Reclamação,49,Alta
iPad Pro travado - trabalho parado,O iPad Pro com display completamente apagado e sem resposta alguma a qualquer controle.,iPad Pro,Telefone,Solicitação de reembolso,49,Alta
Help,nao funfa,PlayStation 5,Email,Cancelamento,42,Média
Não funciona,alguem me ajuda,Câmera Canon EOS,Chat,Dúvida,67,Média
Falha no Roteador Wi-Fi,O Roteador Wi-Fi descarrega em menos de uma hora de uso leve. Comprei há cinco meses. Já calibrei a bateria conforme o manual mas o problema se manteve exatamente igual.,Roteador Wi-Fi,Email,Solicitação de reembolso,73,Média
Computador Desktop tela quebrada - urgente,Computador Desktop parou.,Computador Desktop,Chat,Solicitação de reembolso,27,Alta
Smart TV Samsung 55 com problema técnico,Smart TV Samsung 55 sem áudio.,Smart TV Samsung 55,Email,Reclamação,34,Média
Info sobre PlayStation 5,Meu PlayStation 5 não reconhece mais nenhum dos acessórios oficiais conectados a ele. Já testei acessórios diferentes e o problema persiste em todos. É minha ferramenta principal de trabalho.,PlayStation 5,Chat,Problema Técnico,47,Alta
Smartwatch Garmin com comportamento estranho,Produto com problema.,Smartwatch Garmin,Email,Reclamação,77,Média
Freezer com vazamento perigoso,O Freezer superaquecendo de forma intensa. Fica extremamente quente em menos de cinco minutos de uso.,Freezer,Chat,Cancelamento,81,Alta
Aquecedor a Gás causando risco,Recebi o Aquecedor a Gás com embalagem completamente avariada. O produto chegou com danos físicos visíveis externos.,Aquecedor a Gás,Email,Reclamação,20,Alta
Suporte: Smartwatch Garmin,O Smartwatch Garmin está superaquecendo e desligando automaticamente após poucos minutos de uso normal.,Smartwatch Garmin,Email,Solicitação de reembolso,79,Média
Defeito no Caixa de Som JBL,Meu Caixa de Som JBL não reconhece mais nenhum dos acessórios oficiais conectados a ele. Já testei acessórios diferentes e o problema persiste em todos. É minha ferramenta principal de trabalho.,Caixa de Som JBL,Telefone,Solicitação de reembolso,50,Alta
Garantia do Xbox Series X,O Xbox Series X com imagem desfocada e distorcida mesmo após todos os ajustes manuais possíveis.,Xbox Series X,Chat,Reclamação,68,Alta
Defeito,zuado,Tablet Samsung,Chat,Solicitação de reembolso,60,Média
Dúvida sobre Amazon Kindle,O Amazon Kindle para de responder ao toque após aproximadamente trinta minutos de uso normal. Já reinstalei o sistema operacional duas vezes completas e o comportamento persiste sem mudança.,Amazon Kindle,Email,Reclamação,58,Média
Emergência: Freezer não funciona,O Freezer com display completamente apagado e sem resposta alguma a qualquer controle.,Freezer,Email,Solicitação de reembolso,33,Alta
Problema grave no Aquecedor a Gás,O Aquecedor a Gás não aquece mais como antes. Parou depois de anos funcionando perfeitamente bem.,Aquecedor a Gás,Chat,Reclamação,42,Alta
MacBook Pro tela quebrada - urgente,O MacBook Pro com tela quebrada após queda leve. É minha principal ferramenta de trabalho profissional.,MacBook Pro,Email,Problema Técnico,81,Alta
Aspirador Dyson com defeito intermitente,O Aspirador Dyson com falha total inesperada. Preciso de assistência técnica com urgência máxima possível.,Aspirador Dyson,Telefone,Cancelamento,67,Alta
PlayStation 5 com falha leve,O PlayStation 5 desligando sozinho várias vezes ao dia sem nenhum motivo aparente ou justificável.,PlayStation 5,Telefone,Solicitação de reembolso,41,Média
Problemas,nao ta funcionando,Caixa de Som JBL,Telefone,Cancelamento,50,Baixa
Falha no Impressora HP,Recebi o Impressora HP com embalagem completamente avariada. O produto chegou com danos físicos visíveis externos.,Impressora HP,Telefone,Solicitação de reembolso,28,Alta
Bebedouro causando risco,O Bebedouro não liga desde ontem à noite. Perdi todos os alimentos que estavam armazenados dentro.,Bebedouro,Chat,Problema Técnico,25,Urgente
Defeito no Roteador Wi-Fi,O Roteador Wi-Fi parou de funcionar completamente há dois dias. Perdi todos os alimentos armazenados. Já tentei reiniciar mas o problema persiste. Preciso de atendimento urgente pois tenho...,Roteador Wi-Fi,Telefone,Problema Técnico,85,Urgente
Smart TV Samsung 55 com problema técnico,O Smart TV Samsung 55 não conecta à internet após a última atualização automática de software recebida.,Smart TV Samsung 55,Chat,Problema Técnico,65,Alta
Atendimento,nao sei o que houve,Notebook Dell XPS,Email,Cancelamento,41,Média
Bebedouro com vazamento perigoso,O Bebedouro não conecta à internet após a última atualização automática de software recebida.,Bebedouro,Email,Reclamação,65,Alta
Reparo: Tablet Samsung,O Tablet Samsung está com tela totalmente preta mas com som funcionando normalmente. Testei monitor externo mas sem sinal de vídeo algum. É ferramenta de trabalho e estou sem renda.,Tablet Samsung,Email,Reclamação,82,Alta
Assistência Tablet Samsung,O Tablet Samsung com bateria não durando mais de vinte minutos por carga. Produto com seis meses de uso. Calibrei seguindo todas as instruções do manual oficial mas sem melhora nenhuma.,Tablet Samsung,Telefone,Problema Técnico,33,Alta
Urgente,quebrou,MacBook Air,Telefone,Reclamação,84,Média
Como usar Xbox Series X,O Xbox Series X com imagem desfocada e distorcida mesmo após todos os ajustes manuais possíveis.,Xbox Series X,Telefone,Reclamação,61,Alta
Smartwatch Garmin com falha leve,Smartwatch Garmin sem resposta.,Smartwatch Garmin,Email,Cancelamento,32,Baixa
Computador Desktop não liga - prazo em risco,Descarga muito rápida.,Computador Desktop,Chat,Reclamação,80,Alta
Máquina de Lavar causando risco,O Máquina de Lavar apresenta vazamento de líquido pelo fundo. Risco de acidente doméstico sério. Preciso de ajuda.,Máquina de Lavar,Chat,Cancelamento,30,Alta
Help,ja liguei,Smart TV Samsung 55,Email,Dúvida,84,Baixa
